,order_timestamp_hour,day_of_week,month,hour,S_count,M_count,L_count,XL_count,XXL_count,Classic,Chicken,Supreme,Veggie,total_quantity,total_sales,lag_total_quantity_1,lag_total_quantity_3,lag_total_quantity_5,lag_total_sales_1,lag_total_sales_3,lag_total_sales_5,lag_S_count_1,lag_S_count_3,lag_S_count_5,lag_M_count_1,lag_M_count_3,lag_M_count_5,lag_L_count_1,lag_L_count_3,lag_L_count_5,lag_XL_count_1,lag_XL_count_3,lag_XL_count_5,lag_XXL_count_1,lag_XXL_count_3,lag_XXL_count_5,lag_Classic_1,lag_Classic_3,lag_Classic_5,lag_Chicken_1,lag_Chicken_3,lag_Chicken_5,lag_Supreme_1,lag_Supreme_3,lag_Supreme_5,lag_Veggie_1,lag_Veggie_3,lag_Veggie_5
0,2015-01-04 11:00:00,1,1,11,4,3,4,0,0,4,3,3,1,11,176.25,0,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2015-01-04 12:00:00,1,1,12,3,3,3,0,0,3,4,1,1,9,142.00,11,0,0,176.25,0.00,0.00,4,0,0,3,0,0,4,0,0,0,0,0,0,0,0,4,0,0,3,0,0,3,0,0,1,0,0
2,2015-01-04 13:00:00,1,1,13,2,2,3,0,0,2,0,1,4,7,115.95,9,0,0,142.00,0.00,0.00,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,4,0,0,1,0,0,1,0,0
3,2015-01-04 14:00:00,1,1,14,1,5,4,0,0,2,2,2,4,10,168.00,7,11,0,115.95,176.25,0.00,2,4,0,2,3,0,3,4,0,0,0,0,0,0,0,2,4,0,0,3,0,1,3,0,4,1,0
4,2015-01-04 15:00:00,1,1,15,4,1,4,0,0,4,0,3,2,9,140.95,10,9,0,168.00,142.00,0.00,1,3,0,5,3,0,4,3,0,0,0,0,0,0,0,2,3,0,2,4,0,2,1,0,4,1,0
5,2015-01-04 16:00:00,1,1,16,3,3,3,0,0,3,5,1,0,9,147.75,9,7,11,140.95,115.95,176.25,4,2,4,1,2,3,4,3,4,0,0,0,0,0,0,4,2,4,0,0,3,3,1,3,2,4,1
6,2015-01-04 17:00:00,1,1,17,2,3,2,0,0,1,2,1,3,7,116.50,9,10,9,147.75,168.00,142.00,3,1,3,3,5,3,3,4,3,0,0,0,0,0,0,3,2,3,5,2,4,1,2,1,0,4,1
7,2015-01-04 18:00:00,1,1,18,4,4,2,0,0,2,4,3,1,10,156.75,7,9,7,116.50,140.95,115.95,2,4,2,3,1,2,2,4,3,0,0,0,0,0,0,1,4,2,2,0,0,1,3,1,3,2,4
8,2015-01-04 19:00:00,1,1,19,1,2,3,0,0,1,1,1,3,6,106.75,10,9,10,156.75,147.75,168.00,4,3,1,4,3,5,2,3,4,0,0,0,0,0,0,2,3,2,4,5,2,3,1,2,1,0,4
9,2015-01-04 20:00:00,1,1,20,4,7,8,0,0,4,5,8,2,19,317.75,6,7,9,106.75,116.50,140.95,1,2,4,2,3,1,3,2,4,0,0,0,0,0,0,1,1,4,1,2,0,1,1,3,3,3,2
10,2015-01-04 21:00:00,1,1,21,1,2,1,0,0,0,1,1,2,4,63.75,19,10,9,317.75,156.75,147.75,4,4,3,7,4,3,8,2,3,0,0,0,0,0,0,4,2,3,5,4,5,8,3,1,2,1,0
11,2015-01-04 22:00:00,1,1,22,2,1,2,0,0,0,1,3,1,5,103.05,4,6,7,63.75,106.75,116.50,1,1,2,2,2,3,1,3,2,0,0,0,0,0,0,0,1,1,1,1,2,1,1,1,2,3,3
12,2015-01-11 11:00:00,1,1,11,2,0,4,0,0,3,0,2,1,6,95.75,5,19,10,103.05,317.75,156.75,2,4,4,1,7,4,2,8,2,0,0,0,0,0,0,0,4,2,1,5,4,3,8,3,1,2,1
13,2015-01-11 12:00:00,1,1,12,7,3,6,0,0,6,2,3,5,16,243.75,6,4,6,95.75,63.75,106.75,2,1,1,0,2,2,4,1,3,0,0,0,0,0,0,3,0,1,0,1,1,2,1,1,1,2,3
14,2015-01-11 13:00:00,1,1,13,3,6,6,0,0,3,4,5,3,15,253.50,16,5,19,243.75,103.05,317.75,7,2,4,3,1,7,6,2,8,0,0,0,0,0,0,6,0,4,2,1,5,3,3,8,5,1,2
15,2015-01-11 14:00:00,1,1,14,6,7,2,0,0,7,4,3,1,15,208.95,15,6,4,253.50,95.75,63.75,3,2,1,6,0,2,6,4,1,0,0,0,0,0,0,3,3,0,4,0,1,5,2,1,3,1,2
16,2015-01-11 16:00:00,1,1,16,5,8,5,0,0,3,5,6,4,18,295.25,15,16,5,208.95,243.75,103.05,6,7,2,7,3,1,2,6,2,0,0,0,0,0,0,7,6,0,4,2,1,3,3,3,1,5,1
17,2015-01-11 17:00:00,1,1,17,4,3,5,0,0,3,3,4,2,12,189.95,18,15,6,295.25,253.50,95.75,5,3,2,8,6,0,5,6,4,0,0,0,0,0,0,3,3,3,5,4,0,6,5,2,4,3,1
18,2015-01-11 18:00:00,1,1,18,3,3,4,0,0,4,0,4,2,10,165.00,12,15,16,189.95,208.95,243.75,4,6,7,3,7,3,5,2,6,0,0,0,0,0,0,3,7,6,3,4,2,4,3,3,2,1,5
19,2015-01-11 19:00:00,1,1,19,3,8,6,0,0,2,3,6,6,17,291.00,10,18,15,165.00,295.25,253.50,3,5,3,3,8,6,4,5,6,0,0,0,0,0,0,4,3,3,0,5,4,4,6,5,2,4,3
20,2015-01-11 20:00:00,1,1,20,1,1,2,0,0,0,0,2,2,4,79.40,17,12,15,291.00,189.95,208.95,3,4,6,8,3,7,6,5,2,0,0,0,0,0,0,2,3,7,3,3,4,6,4,3,6,2,1
21,2015-01-11 21:00:00,1,1,21,1,1,1,0,0,0,1,2,0,3,49.75,4,10,18,79.40,165.00,295.25,1,3,5,1,3,8,2,4,5,0,0,0,0,0,0,0,4,3,0,0,5,2,4,6,2,2,4
22,2015-01-18 11:00:00,1,1,11,0,1,3,0,0,2,2,0,0,4,74.50,3,17,12,49.75,291.00,189.95,1,3,4,1,8,3,1,6,5,0,0,0,0,0,0,0,2,3,1,3,3,2,6,4,0,6,2
23,2015-01-18 12:00:00,1,1,12,3,6,7,0,0,4,3,4,5,16,272.75,4,4,10,74.50,79.40,165.00,0,1,3,1,1,3,3,2,4,0,0,0,0,0,0,2,0,4,2,0,0,0,2,4,0,2,2
24,2015-01-18 13:00:00,1,1,13,3,2,5,0,0,5,2,3,0,10,163.25,16,3,17,272.75,49.75,291.00,3,1,3,6,1,8,7,1,6,0,0,0,0,0,0,4,0,2,3,1,3,4,2,6,5,0,6
25,2015-01-18 14:00:00,1,1,14,8,5,5,1,0,5,4,5,5,19,296.15,10,4,4,163.25,74.50,79.40,3,0,1,2,1,1,5,3,2,0,0,0,0,0,0,5,2,0,2,2,0,3,0,2,0,0,2
